lanskod;lan_namn;kommunkod;kommunnamn;tatortskod;tatort;area_ha;bef
3;Uppsala;382;Östhammar;T0688;Östhammar;489;4726
20;Dalarna;2083;Hedemora;T6532;Garpenberg;120;515
21;Gävleborg;2181;Sandviken;T7384;Österfärnebo;137;470
20;Dalarna;2082;Säter;T6792;Säter;418;4613
3;Uppsala;382;Östhammar;T0676;Öregrund;427;1589
20;Dalarna;2081;Borlänge;T6588;Idkerberget;77;252
3;Uppsala;360;Tierp;T0640;Tierp;442;5826
20;Dalarna;2082;Säter;T6752;Solvarbo;70;301
3;Uppsala;360;Tierp;T0636;Söderfors;225;1704
20;Dalarna;2082;Säter;T6764;Skedvi kyrkby;77;407
20;Dalarna;2081;Borlänge;T6568;Halvarsgårdarna;72;317
20;Dalarna;2082;Säter;T6492;Enbacka och Mora;288;1899
21;Gävleborg;2180;Gävle;T7104;Hedesunda;185;1067
17;Värmland;1737;Torsby;T5816;Stöllet;76;233
21;Gävleborg;2180;Gävle;T7014;Berg;118;324
20;Dalarna;2081;Borlänge;T6706;Romme;444;1735
20;Dalarna;2083;Hedemora;T6632;Långshyttan;291;1609
20;Dalarna;2021;Vansbro;T6680;Nås;112;205
20;Dalarna;2026;Gagnef;T6428;Björbo;193;658
20;Dalarna;2021;Vansbro;T6682;Heden och Skansbacken;205;342
3;Uppsala;360;Tierp;T0604;Mehedeby;64;430
20;Dalarna;2081;Borlänge;T6806;Torsång;120;712
20;Dalarna;2021;Vansbro;T6900;Äppelbo;287;490
3;Uppsala;360;Tierp;T0624;Skärplinge;110;720
20;Dalarna;2026;Gagnef;T6644;Mockfjärd;379;1920
20;Dalarna;2081;Borlänge;T6692;Ornäs;123;1083
20;Dalarna;2026;Gagnef;T6460;Floda / Dala-Floda;234;701
3;Uppsala;319;Älvkarleby;T0600;Marma;50;324
20;Dalarna;2081;Borlänge;T6704;Repbäcken;87;233
21;Gävleborg;2104;Hofors;T7332;Torsåker;117;848
20;Dalarna;2080;Falun;T6840;Vika;99;582
20;Dalarna;2021;Vansbro;T6828;Vansbro;351;2042
20;Dalarna;2081;Borlänge;T6666;Norr Amsberg;70;238
20;Dalarna;2081;Borlänge;T6444;Borlänge;3148;41955
21;Gävleborg;2181;Sandviken;T7376;Årsunda;144;1012
20;Dalarna;2026;Gagnef;T6456;Bäsna;149;655
3;Uppsala;360;Tierp;T0572;Karlholmsbruk;285;1193
21;Gävleborg;2181;Sandviken;T7084;Hammarby;104;533
20;Dalarna;2021;Vansbro;T6468;Järna;628;1725
3;Uppsala;319;Älvkarleby;T0670;Älvkarleö;73;214
21;Gävleborg;2104;Hofors;T7112;Hofors;631;6090
20;Dalarna;2026;Gagnef;T6484;Djurås;387;2128
20;Dalarna;2026;Gagnef;T6728;Sifferbo;79;406
20;Dalarna;2080;Falun;T6408;Aspeboda;106;219
21;Gävleborg;2104;Hofors;T7254;Robertsholm;49;415
20;Dalarna;2021;Vansbro;T6738;Skålö;246;340
3;Uppsala;319;Älvkarleby;T0664;Älvkarleby;251;1517
21;Gävleborg;2181;Sandviken;T7296;Storvik;273;2202
20;Dalarna;2080;Falun;T6458;Gamla Berget och Korsgården;173;988
20;Dalarna;2026;Gagnef;T6528;Gagnef;367;1199
21;Gävleborg;2181;Sandviken;T7364;Västerberg;75;228
21;Gävleborg;2181;Sandviken;T7110;Hillsta och Se;69;277
20;Dalarna;2029;Leksand;T6476;Djura;125;387
21;Gävleborg;2181;Sandviken;T7168;Kungsgården;154;775
20;Dalarna;2080;Falun;T6472;Danholn;80;466
21;Gävleborg;2180;Gävle;T7052;Forsbacka;188;1754
21;Gävleborg;2180;Gävle;T7308;Sälgsjön;33;214
20;Dalarna;2080;Falun;T6766;Stennäset;56;653
3;Uppsala;319;Älvkarleby;T0552;Gårdskär;122;354
21;Gävleborg;2180;Gävle;T7388;Överhärde;125;553
20;Dalarna;2080;Falun;T6430;Karlsbyheden och Blixbo;128;338
21;Gävleborg;2181;Sandviken;T7380;Åshammar;83;535
21;Gävleborg;2181;Sandviken;T7272;Sandviken;1759;24724
20;Dalarna;2080;Falun;T6768;Sundborn;194;923
20;Dalarna;2080;Falun;T6504;Falun;2516;37000
3;Uppsala;319;Älvkarleby;T0616;Skutskär;802;6279
21;Gävleborg;2181;Sandviken;T7140;Jäderfors;63;307
21;Gävleborg;2180;Gävle;T7060;Furuvik;143;697
